IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover
UN-L1-2013-SN-D1-E10_L1	UN-L1-2013-SN-D1-E10		L1	86	21	inattendu	ADJ	inattendue	inattendue	21	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E10_L1	UN-L1-2013-SN-D1-E10		L1	86	23	inespéré	ADJ	inespérée	inespérée	23	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E10_L1	UN-L1-2013-SN-D1-E10		L1	86	52	autre	ADJ	autre	autre	52	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E10_L1	UN-L1-2013-SN-D1-E10		L1	86	83	physique	ADJ	physique	physique	83	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E10_L1	UN-L1-2013-SN-D1-E10		L1	86	85	moral	ADJ	moral	moral	85	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	35	particulier	ADJ	particulier	particulier	35	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	62	obligatoire	ADJ	obligatoire	obligatoire	62	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	69	humain	ADJ	humain	humain	69	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	80	fort	ADJ	forte	forte	80	1	01-Normé	01-Normé	f	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	90	morbide	ADJ	morbide	morbide	90	1	01-Normé	01-Normé	_	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	98	grand	ADJ	grand	grand	98	1	01-Normé	01-Normé	m	s	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	107	autre	ADJ	autres	autres	107	1	01-Normé	01-Normé	_	p	_
UN-L1-2013-SN-D1-E4_L1	UN-L1-2013-SN-D1-E4		L1	132	115	présent	ADJ	présentes	présentes	115	1	01-Normé	01-Normé	f	p	_
