IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1561_CE1	1561		CE1	95	71	parent	ADJ	parents	parant	69	1	02-Phono	01-Normé	m	p	_	parent	_	s	parant	_	_	1	0	1
1561_CE1	1561		CE1	95	86	méchant	ADJ	méchante	méchante	82	1	01-Normé	01-Normé	f	s	_	méchant	e	_	méchant	e	_	0	0	0
1561_CE1	1561		CE1	95	91	grand	ADJ	grand	grand	87	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
1353_CE1	1353		CE1	55	4	grand	ADJ	grand	grand	4	1	01-Normé	01-Normé	m	s	_	grand	_	_	grand	_	_	0	0	0
1353_CE1	1353		CE1	55	48	magnifique	ADJ	magnifique	magnifique	48	1	01-Normé	01-Normé	_	s	_	magnifique	_	_	magnifique	_	_	0	0	0
3034_CE1	3034		CE1	80	12	magique	ADJ	magique	magique	12	1	01-Normé	01-Normé	_	s	_	magique	_	_	magique	_	_	0	0	0
3034_CE1	3034		CE1	80	78	sauf	ADJ	sauve	sove	77	1	03-Archi	01-Normé	f	s	_	sauv	e	_	sov	e	_	1	0	0
834_CE1	834		CE1	63	15	magique	ADJ	magique	magice	15	1	04-ApproxGraphique	01-Normé	_	s	_	magique	_	_	magice	_	_	1	0	0
2530_CE1	2530		CE1	154	20	seul	ADJ	seul	seul	20	1	01-Normé	01-Normé	m	s	_	seul	_	_	seul	_	_	0	0	0
2530_CE1	2530		CE1	154	45	noir	ADJ	noir	noir	45	1	01-Normé	01-Normé	m	s	_	noir	_	_	noir	_	_	0	0	0
2530_CE1	2530		CE1	154	52	bleu	ADJ	bleus	bleus	52	1	01-Normé	01-Normé	m	p	_	bleu	_	s	bleu	_	s	0	0	0
2530_CE1	2530		CE1	154	60	marron	ADJ	marron	marron	60	1	01-Normé	01-Normé	m	s	_	marron	_	_	marron	_	_	0	0	0
