IdProd	IdEleve	IdClasse	Niv	LongProd	IdTokNorm	Lemme	Catégorie	SegNorm	SegTrans	IdTokTrans	IdSegTrans	StatutErreur	StatutSegm	Genre	Nombre	Infover	baseAtt	flexGenreAtt	flexNbAtt	baseProd	flexGenreProd	flexNbProd	ErrBase	ErrFlexGenre	ErrFlexNb
1361_CP	1361		CP	30	28	petit	ADJ	petit	peti	25	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
772_CP	772		CP	42	12	moyen	ADJ	moyenne	moiyéne	12	1	03-Archi	01-Normé	f	s	_	moyenn	e	_	moiyén	e	_	1	0	0
493_CP	493		CP	37	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2704_CP	2704		CP	28	7	petit	ADJ	petit	petit	8	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2903_CP	2903		CP	24	3	petit	ADJ	petit	petti	3	1	04-ApproxGraphique	01-Normé	m	s	_	petit	_	_	petti	_	_	1	0	0
2903_CP	2903		CP	24	21	petit	ADJ	petit	petti	20	1	04-ApproxGraphique	01-Normé	m	s	_	petit	_	_	petti	_	_	1	0	0
1998_CP	1998		CP	45	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
221_CP	221		CP	17	3	petit	ADJ	petit	ptete	3	1	05-ApproxPhono	01-Normé	m	s	_	petit	_	_	ptet	e	_	1	1	0
2454_CP	2454		CP	25	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2399_CP	2399		CP	35	27	grand	ADJ	grand	gran	27	1	02-Phono	01-Normé	m	s	_	grand	_	_	gran	_	_	1	0	0
828_CP	828		CP	31	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
828_CP	828		CP	31	9	autre	ADJ	autres	autre	9	1	02-Phono	01-Normé	_	p	_	autre	_	s	autre	_	_	0	0	1
828_CP	828		CP	31	14	petit	ADJ	petit	petit	14	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
688_CP	688		CP	40	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
688_CP	688		CP	40	11	petit	ADJ	petit	petit	11	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
688_CP	688		CP	40	21	petit	ADJ	petit	petit	21	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
688_CP	688		CP	40	34	petit	ADJ	petit	petit	35	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1232_CP	1232		CP	29	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1232_CP	1232		CP	29	9	petit	ADJ	petit	petit	9	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1232_CP	1232		CP	29	14	petit	ADJ	petit	petit	14	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1191_CP	1191		CP	46	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1191_CP	1191		CP	46	10	seul	ADJ	seul	seul	10	1	01-Normé	01-Normé	m	s	_	seul	_	_	seul	_	_	0	0	0
1191_CP	1191		CP	46	43	vrai	ADJ	vraie	vrai	41	1	02-Phono	01-Normé	f	s	_	vrai	e	_	vrai	_	_	0	1	0
1682_CP	1682		CP	31	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1669_CP	1669		CP	8	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2983_CP	2983		CP	39	11	malheureux	ADJ	malheureux	malere	10	1	05-ApproxPhono	01-Normé	m	_	_	malheureux	_	_	malere	_	_	1	0	0
2983_CP	2983		CP	39	29	grand	ADJ	grand	gran	28	1	02-Phono	01-Normé	m	s	_	grand	_	_	gran	_	_	1	0	0
97_CP	97		CP	26	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1173_CP	1173		CP	20	17	autre	ADJ	autre	notre	16	1	03-Archi	01-Normé	_	s	_	autre	_	_	notre	_	_	1	0	0
1513_CP	1513		CP	10	7	petit	ADJ	petits	petit	9	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
1343_CP	1343		CP	27	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1343_CP	1343		CP	27	9	petit	ADJ	petit	petit	9	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1343_CP	1343		CP	27	15	petit	ADJ	petit	petit	15	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1999_CP	1999		CP	27	14	petit	ADJ	petits	petit	14	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
2446_CP	2446		CP	58	22	autre	ADJ	autre	notre	20	1	03-Archi	01-Normé	_	s	_	autre	_	_	notre	_	_	1	0	0
2446_CP	2446		CP	58	32	grand	ADJ	grand	gran	29	1	02-Phono	01-Normé	m	s	_	grand	_	_	gran	_	_	1	0	0
2446_CP	2446		CP	58	38	petit	ADJ	petit	petit	35	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2446_CP	2446		CP	58	53	petit	ADJ	petit	petit	49	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1101_CP	1101		CP	28	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1347_CP	1347		CP	25	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1347_CP	1347		CP	25	16	petit	ADJ	petit	petit	16	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1845_CP	1845		CP	36	28	grand	ADJ	grand	cran	30	1	04-ApproxGraphique	01-Normé	m	s	_	grand	_	_	cran	_	_	1	0	0
1693_CP	1693		CP	26	6	petit	ADJ	petit	petit	6	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1693_CP	1693		CP	26	26	petit	ADJ	petits	petit	27	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
835_CP	835		CP	47	16	autre	ADJ	autres	sotre	16	1	05-ApproxPhono	01-Normé	_	p	_	autre	_	s	sotre	_	_	1	0	1
2711_CP	2711		CP	32	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2037_CP	2037		CP	22	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2037_CP	2037		CP	22	15	triste	ADJ	triste	étrite	15	1	04-ApproxGraphique	01-Normé	_	s	_	triste	_	_	étrite	_	_	1	0	0
102_CP	102		CP	22	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
113_CP	113		CP	19	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
113_CP	113		CP	19	10	petit	ADJ	petit	petit	10	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1554_CP	1554		CP	26	23	petit	ADJ	petit	petti	22	1	04-ApproxGraphique	01-Normé	m	s	_	petit	_	_	petti	_	_	1	0	0
818_CP	818		CP	32	3	petit	ADJ	petit	Petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
818_CP	818		CP	32	24	grand	ADJ	grand	grant	22	1	02-Phono	01-Normé	m	s	_	grand	_	_	grant	_	_	1	0	0
1965_CP	1965		CP	42	4	petit	ADJ	petit	petit	4	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1929_CP	1929		CP	20	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1962_CP	1962		CP	37	33	autre	ADJ	autres	sotr	32	1	05-ApproxPhono	01-Normé	_	p	_	autre	_	s	sotr	_	_	1	0	1
1973_CP	1973		CP	29	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1973_CP	1973		CP	29	27	petit	ADJ	petit	petit	26	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1834_CP	1834		CP	39	11	petit	ADJ	petit	petit	11	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1834_CP	1834		CP	39	27	mal	ADJ	mal	male	25	1	02-Phono	01-Normé	m	s	_	mal	_	_	male	_	_	1	0	0
690_CP	690		CP	26	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
690_CP	690		CP	26	15	petit	ADJ	petits	petit	15	1	02-Phono	01-Normé	m	p	_	petit	_	s	petit	_	_	0	0	1
1531_CP	1531		CP	34	3	petit	ADJ	petit	peti	3	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
1531_CP	1531		CP	34	10	petit	ADJ	petit	petit	10	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1531_CP	1531		CP	34	19	petit	ADJ	petit	peti	19	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
500_CP	500		CP	23	2	petit	ADJ	Petit	Petits	2	1	02-Phono	01-Normé	m	s	_	petit	_	_	petit	_	s	0	0	1
1517_CP	1517		CP	41	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1517_CP	1517		CP	41	30	autre	ADJ	autres	autre	27	1	04-ApproxGraphique	01-Normé	_	p	_	autre	_	s	autre	_	_	0	0	1
1517_CP	1517		CP	41	35	autre	ADJ	autres	autres	32	1	01-Normé	01-Normé	_	p	_	autre	_	s	autre	_	s	0	0	0
1850_CP	1850		CP	44	8	moyen	ADJ	moyen	moiun	8	1	04-ApproxGraphique	01-Normé	m	s	_	moyen	_	_	moiun	_	_	1	0	0
1850_CP	1850		CP	44	39	petit	ADJ	petit	petit	39	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
573_CP	573		CP	26	4	court	ADJ	court	quoure	4	1	02-Phono	01-Normé	m	s	_	court	_	_	quour	e	_	1	1	0
2453_CP	2453		CP	14	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2445_CP	2445		CP	43	36	petit	ADJ	petit	petis	37	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	s	1	0	1
1985_CP	1985		CP	41	5	petit	ADJ	petit	petit	5	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1985_CP	1985		CP	41	16	petit	ADJ	petit	petit	16	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1169_CP	1169		CP	35	7	petit	ADJ	petit	petits	8	1	02-Phono	01-Normé	m	s	_	petit	_	_	petit	_	s	0	0	1
2413_CP	2413		CP	41	7	petit	ADJ	petit	petit	7	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2413_CP	2413		CP	41	20	petit	ADJ	petit	petit	18	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
2413_CP	2413		CP	41	36	autre	ADJ	autres	otre	34	1	05-ApproxPhono	01-Normé	_	p	_	autre	_	s	otre	_	_	1	0	1
2891_CP	2891		CP	30	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1515_CP	1515		CP	59	3	petit	ADJ	petit	petit	3	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
1515_CP	1515		CP	59	12	petit	ADJ	petit	petit	11	1	01-Normé	01-Normé	m	s	_	petit	_	_	petit	_	_	0	0	0
677_CP	677		CP	35	25	petit	ADJ	petit	peti	25	1	02-Phono	01-Normé	m	s	_	petit	_	_	peti	_	_	1	0	0
